id_componente,nivel,tipo_componente,codigo,nome,departamento,codigo_antigo,ch_total,cr_total,ch_aula,ch_laboratorio,ch_estagio,ch_dedicada_docente,ch_ead,equivalencia,pre_requisito,co_requisito,ementa,bibliografia,curso,ativo,num_unidades,tem_orientador,aceita_subturma,permite_horario_flexivel,permite_horario_docente_flexivel,conteudo_variavel,eminentemente_pratica
"29298","R","ATIVIDADES","RMEANE0001","TRABALHO DE CONCLUSÃODE RESIDÊNCIA","PRM-ANE",,"0","0","0","0","0","0","0",,,,"",,,"t","1","t","f","f","f","f","f"
"29299","R","ATIVIDADES","RMEANE0002","AVALIAÇÕES 1º ANO","PRM-ANE",,"0","0","0","0","0","0","0",,,,"*",,,"t","1","f","f","f","f","f","f"
"29300","R","ATIVIDADES","RMEANE0003","AVALIAÇÕES 2 ANO","PRM-ANE",,"0","0","0","0","0","0","0",,,,"*",,,"t","1","f","f","f","f","f","f"
"29319","R","ATIVIDADES","RMEANE0004","AVALIAÇÃO III","PRM-ANE",,"0","0","0","0","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29893","R","MODULO","RMEANE0005","AULA TEÓRICA  (1° ANO)","PRM-ANE",,"288","19","288","0","0","0","0",,,,"A definir ",,,"t","1","f","f","f","f","f","f"
"29894","R","ATIVIDADES","RMEANE0006","APA ( 1° ANO)","PRM-ANE",,"252","16","0","252","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29895","R","ATIVIDADES","RMEANE0007","SRPA ( 1° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29896","R","ATIVIDADES","RMEANE0008","CIRURGIA ABDOMINAL ( 1° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29897","R","ATIVIDADES","RMEANE0009","ORTOPEDIA (1° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29898","R","ATIVIDADES","RMEANE0010","CIRURGIA PLÁSTICA ( 1° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29899","R","ATIVIDADES","RMEANE0011","CIRURGIA BUCOMAXILO (1°ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29900","R","ATIVIDADES","RMEANE0012","GINECOLÓGICA (1°ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29901","R","ATIVIDADES","RMEANE0013","CIRURGIA VASCULAR (1° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29902","R","ATIVIDADES","RMEANE0014","PLANTÃO URGÊNCIA/EMERGÊNCIA (1°ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"*",,,"t","1","f","f","f","f","f","f"
"29903","R","ATIVIDADES","RMEANE0015","OPCIONAL ( 1° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
